"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
1,"""a""",1
2,"""ba""",1
3,"""aba""",1
4,"""caba""",1
5,"""acaba""",1
6,"""bacaba""",1
7,"""abacaba""",1
8,"""acbacaba""",2
9,"""cacbacaba""",1
10,"""bcacbacaba""",1
11,"""abcacbacaba""",1
12,"""babcacbacaba""",1
13,"""cbabcacbacaba""",1
14,"""acbabcacbacaba""",1
15,"""bacbabcacbacaba""",1
16,"""abacbabcacbacaba""",1
17,"""cabacbabcacbacaba""",1
18,"""acabacbabcacbacaba""",1
19,"""bacabacbabcacbacaba""",1
20,"""cbacabacbabcacbacaba""",1
21,"""acbacabacbabcacbacaba""",1
22,"""cacbacabacbabcacbacaba""",1
23,"""bcacbacabacbabcacbacaba""",1
24,"""abcacbacabacbabcacbacaba""",1
25,"""babcacbacabacbabcacbacaba""",1
26,"""bacbcacbacabacbabcacbacaba""",3
27,"""abacbcacbacabacbabcacbacaba""",1
28,"""cabacbcacbacabacbabcacbacaba""",1
29,"""acabacbcacbacabacbabcacbacaba""",1
30,"""bacabacbcacbacabacbabcacbacaba""",1
31,"""cbacabacbcacbacabacbabcacbacaba""",1
32,"""acbacabacbcacbacabacbabcacbacaba""",1
33,"""abcbacabacbcacbacabacbabcacbacaba""",2
34,"""babcbacabacbcacbacabacbabcacbacaba""",1
35,"""cbabcbacabacbcacbacabacbabcacbacaba""",1
36,"""acbabcbacabacbcacbacabacbabcacbacaba""",1
37,"""bacbabcbacabacbcacbacabacbabcacbacaba""",1
38,"""abacbabcbacabacbcacbacabacbabcacbacaba""",1
39,"""cabacbabcbacabacbcacbacabacbabcacbacaba""",1
40,"""acabacbabcbacabacbcacbacabacbabcacbacaba""",1
41,"""bacabacbabcbacabacbcacbacabacbabcacbacaba""",1
42,"""cbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
43,"""acbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
44,"""cacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
45,"""bcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
46,"""abcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
47,"""babcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
48,"""cbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
49,"""acbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
50,"""bacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
51,"""abacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
52,"""cabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
53,"""acabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
54,"""bacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
55,"""cbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
56,"""bcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
57,"""abcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
58,"""babcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
59,"""cbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
60,"""acbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
61,"""bacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
62,"""abacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
63,"""cabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
64,"""acabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
65,"""abcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",2
66,"""babcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
67,"""cbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
68,"""acbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
69,"""bacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
70,"""bcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",2
71,"""abcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
72,"""babcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
73,"""bacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",3
74,"""abacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
75,"""cabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
76,"""acabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
77,"""bacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
78,"""cbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
79,"""acbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
80,"""cacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
81,"""bcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
82,"""abcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
83,"""babcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
84,"""cbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
85,"""acbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
86,"""bacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
87,"""abacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
88,"""cabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
89,"""acabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
90,"""bacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
91,"""cbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
92,"""acbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
93,"""cacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
94,"""bcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
95,"""cbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
96,"""acbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
97,"""bacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
98,"""abacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
99,"""cabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
100,"""acabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
101,"""bacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
102,"""cbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
103,"""acbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
104,"""abcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",2
105,"""babcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
106,"""cbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
107,"""acbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
108,"""bacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
109,"""abacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
110,"""cabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
111,"""acabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
112,"""bacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
113,"""cbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
114,"""acbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
115,"""cacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
116,"""bcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
117,"""abcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
118,"""babcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
119,"""cbabcacbacabacbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabcbacabacbcacbacabacbabcacbacaba""",1
