"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
1,"""a""",-1
2,"""ab""",-1
3,"""aba""",-1
4,"""abac""",-1
5,"""abaca""",-1
6,"""abacab""",-1
7,"""abacaba""",-1
8,"""abacabca""",-2
9,"""abacabcac""",-1
10,"""abacabcacb""",-1
11,"""abacabcacba""",-1
12,"""abacabcacbab""",-1
13,"""abacabcacbabc""",-1
14,"""abacabcacbabca""",-1
15,"""abacabcacbabcab""",-1
16,"""abacabcacbabcaba""",-1
17,"""abacabcacbabcabac""",-1
18,"""abacabcacbabcabaca""",-1
19,"""abacabcacbabcabacab""",-1
20,"""abacabcacbabcabacabc""",-1
21,"""abacabcacbabcabacabca""",-1
"","",""
"Status zakonczenia:","Osiagnieto limit iteracji",""
"Kierunek:","OdKonca",""
"Czas wykonania (s):",0.000799,""
