"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""ab""",-1
3,"""aba""",-1
4,"""abac""",-1
5,"""abaca""",-1
6,"""abacab""",-1
7,"""abacaba""",-1
8,"""abacabca""",-2
9,"""abacabcac""",-1
10,"""abacabcacb""",-1
11,"""abacabcacba""",-1
12,"""abacabcacbab""",-1
13,"""abacabcacbabc""",-1
14,"""abacabcacbabca""",-1
15,"""abacabcacbabcab""",-1
16,"""abacabcacbabcaba""",-1
17,"""abacabcacbabcabac""",-1
18,"""abacabcacbabcabaca""",-1
19,"""abacabcacbabcabacab""",-1
20,"""abacabcacbabcabacabc""",-1
21,"""abacabcacbabcabacabca""",-1
22,"""abacabcacbabcabacabcac""",-1
23,"""abacabcacbabcabacabcacb""",-1
24,"""abacabcacbabcabacabcacba""",-1
25,"""abacabcacbabcabacabcacbab""",-1
26,"""abacabcacbabcabacabcacbcab""",-3
27,"""abacabcacbabcabacabcacbcaba""",-1
28,"""abacabcacbabcabacabcacbcabac""",-1
29,"""abacabcacbabcabacabcacbcabaca""",-1
30,"""abacabcacbabcabacabcacbcabacab""",-1
31,"""abacabcacbabcabacabcacbcabacabc""",-1
32,"""abacabcacbabcabacabcacbcabacabca""",-1
33,"""abacabcacbabcabacabcacbcabacabcba""",-2
34,"""abacabcacbabcabacabcacbcabacabcbab""",-1
35,"""abacabcacbabcabacabcacbcabacabcbabc""",-1
36,"""abacabcacbabcabacabcacbcabacabcbabca""",-1
37,"""abacabcacbabcabacabcacbcabacabcbabcab""",-1
38,"""abacabcacbabcabacabcacbcabacabcbabcaba""",-1
39,"""abacabcacbabcabacabcacbcabacabcbabcabac""",-1
40,"""abacabcacbabcabacabcacbcabacabcbabcabaca""",-1
41,"""abacabcacbabcabacabcacbcabacabcbabcabacab""",-1
42,"""abacabcacbabcabacabcacbcabacabcbabcabacabc""",-1
43,"""abacabcacbabcabacabcacbcabacabcbabcabacabca""",-1
44,"""abacabcacbabcabacabcacbcabacabcbabcabacabcac""",-1
45,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacb""",-1
46,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacba""",-1
47,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbab""",-1
48,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabc""",-1
49,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabca""",-1
50,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcab""",-1
51,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcaba""",-1
52,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabac""",-1
53,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabaca""",-1
54,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacab""",-1
55,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabc""",-1
56,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcb""",-1
57,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcba""",-1
58,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbab""",-1
59,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabc""",-1
60,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabca""",-1
61,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcab""",-1
62,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcaba""",-1
63,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabac""",-1
64,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabaca""",-1
65,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacba""",-2
66,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbab""",-1
67,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabc""",-1
68,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabca""",-1
69,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcab""",-1
70,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacb""",-2
71,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacba""",-1
72,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbab""",-1
73,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcab""",-3
74,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcaba""",-1
75,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabac""",-1
76,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabaca""",-1
77,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacab""",-1
78,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabc""",-1
79,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabca""",-1
80,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcac""",-1
81,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacb""",-1
82,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacba""",-1
83,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbab""",-1
84,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabc""",-1
85,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabca""",-1
86,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcab""",-1
87,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcaba""",-1
88,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabac""",-1
89,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabaca""",-1
90,"""abacabcacbabcabacabcacbcabacabcbabcabacabcacbabcabacabcbabcabacbabcacbcabacabcacbabcabacab""",-1
