"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""bc""",-1
3,"""bca""",-1
4,"""bcab""",-1
5,"""bcaba""",-1
6,"""bcabac""",-1
7,"""bcabaca""",-1
8,"""bcabacab""",-1
9,"""bcabacabc""",-1
10,"""bcabacabca""",-1
11,"""bcabacabcac""",-1
12,"""bcabacabcacb""",-1
13,"""bcabacabcacba""",-1
14,"""bcabacabcacbab""",-1
15,"""bcabacabcacbabc""",-1
16,"""bcabacabcacbabca""",-1
17,"""bcabacabcacbabcab""",-1
18,"""bcabacabcacbabcaba""",-1
19,"""bcabacabcacbabcabac""",-1
20,"""bcabacabcacbabcabaca""",-1
21,"""bcabacabcacbabcabacab""",-1
22,"""bcabacabcacbabcabacabc""",-1
23,"""bcabacabcacbabcabacabca""",-1
24,"""bcabacabcacbabcabacabcac""",-1
25,"""bcabacabcacbabcabacabcacb""",-1
26,"""bcabacabcacbabcabacabcacbc""",-1
27,"""bcabacabcacbabcabacabcacbca""",-1
28,"""bcabacabcacbabcabacabcacbcab""",-1
29,"""bcabacabcacbabcabacabcacbcaba""",-1
30,"""bcabacabcacbabcabacabcacbcabac""",-1
31,"""bcabacabcacbabcabacabcacbcabaca""",-1
32,"""bcabacabcacbabcabacabcacbcabacab""",-1
33,"""bcabacabcacbabcabacabcacbcabacabc""",-1
34,"""bcabacabcacbabcabacabcacbcabacabca""",-1
35,"""bcabacabcacbabcabacabcacbcabacabcba""",-2
36,"""bcabacabcacbabcabacabcacbcabacabcbab""",-1
37,"""bcabacabcacbabcabacabcacbcabacabcbabc""",-1
38,"""bcabacabcacbabcabacabcacbcabacabcbabca""",-1
39,"""bcabacabcacbabcabacabcacbcabacabcbabcab""",-1
40,"""bcabacabcacbabcabacabcacbcabacabcbabcaba""",-1
41,"""bcabacabcacbabcabacabcacbcabacabcbabcabac""",-1
42,"""bcabacabcacbabcabacabcacbcabacabcbabcabaca""",-1
43,"""bcabacabcacbabcabacabcacbcabacabcbabcabacab""",-1
44,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabc""",-1
45,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabca""",-1
46,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcac""",-1
47,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacb""",-1
48,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacba""",-1
49,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacbab""",-1
50,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabc""",-1
51,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabca""",-1
52,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcab""",-1
53,"""bcabacabcacbabcabacabcacbcabacabcbabcabacabcacbabcaba""",-1
