"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""ac""",-1
3,"""aca""",-1
4,"""acab""",-1
5,"""acaba""",-1
6,"""acabac""",-1
7,"""acabaca""",-1
8,"""acabacba""",-2
9,"""acabacbab""",-1
10,"""acabacbabc""",-1
11,"""acabacbabca""",-1
12,"""acabacbabcab""",-1
13,"""acabacbabcaba""",-1
14,"""acabacbabcabac""",-1
15,"""acabacbabcabaca""",-1
16,"""acabacbabcabacab""",-1
17,"""acabacbabcabacabc""",-1
18,"""acabacbabcabacabca""",-1
19,"""acabacbabcabacabcac""",-1
20,"""acabacbabcabacabcacb""",-1
21,"""acabacbabcabacabcacba""",-1
22,"""acabacbabcabacabcacbab""",-1
23,"""acabacbabcabacabcacbabc""",-1
24,"""acabacbabcabacabcacbabca""",-1
25,"""acabacbabcabacabcacbabcab""",-1
26,"""acabacbabcabacabcacbabcaba""",-1
27,"""acabacbabcabacabcacbabcabac""",-1
28,"""acabacbabcabacabcacbabcabaca""",-1
29,"""acabacbabcabacabcacbabcabacab""",-1
30,"""acabacbabcabacabcacbabcabacbab""",-3
31,"""acabacbabcabacabcacbabcabacbabc""",-1
32,"""acabacbabcabacabcacbabcabacbabca""",-1
33,"""acabacbabcabacabcacbabcabacbabcac""",-1
34,"""acabacbabcabacabcacbabcabacbabcacb""",-1
35,"""acabacbabcabacabcacbabcabacbabcacba""",-1
36,"""acabacbabcabacabcacbabcabacbabcacbab""",-1
37,"""acabacbabcabacabcacbabcabacbabcacbcab""",-3
38,"""acabacbabcabacabcacbabcabacbabcacbcaba""",-1
39,"""acabacbabcabacabcacbabcabacbabcacbcabac""",-1
40,"""acabacbabcabacabcacbabcabacbabcacbcabaca""",-1
41,"""acabacbabcabacabcacbabcabacbabcacbcabacab""",-1
42,"""acabacbabcabacabcacbabcabacbabcacbcabacabc""",-1
43,"""acabacbabcabacabcacbabcabacbabcacbcabacabca""",-1
44,"""acabacbabcabacabcacbabcabacbabcacbcabacabcac""",-1
45,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacb""",-1
46,"""acabacbabcabacabcacbabcabacbabcacbcabacabcacba""",-1
