"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""ab""",1
3,"""bab""",1
4,"""cbab""",1
5,"""acbab""",1
6,"""bacbab""",1
7,"""abacbab""",1
8,"""cabacbab""",1
9,"""acabacbab""",1
10,"""bacabacbab""",1
11,"""cbacabacbab""",1
12,"""acbacabacbab""",1
13,"""cacbacabacbab""",1
14,"""bcacbacabacbab""",1
15,"""abcacbacabacbab""",1
16,"""babcacbacabacbab""",1
17,"""cbabcacbacabacbab""",1
18,"""acbabcacbacabacbab""",1
19,"""bacbabcacbacabacbab""",1
20,"""abacbabcacbacabacbab""",1
21,"""cabacbabcacbacabacbab""",1
22,"""acabacbabcacbacabacbab""",1
23,"""bacabacbabcacbacabacbab""",1
24,"""cbacabacbabcacbacabacbab""",1
25,"""acbacabacbabcacbacabacbab""",1
26,"""abcbacabacbabcacbacabacbab""",2
27,"""babcbacabacbabcacbacabacbab""",1
28,"""cbabcbacabacbabcacbacabacbab""",1
29,"""acbabcbacabacbabcacbacabacbab""",1
30,"""bacbabcbacabacbabcacbacabacbab""",1
31,"""abacbabcbacabacbabcacbacabacbab""",1
32,"""cabacbabcbacabacbabcacbacabacbab""",1
33,"""acabacbabcbacabacbabcacbacabacbab""",1
34,"""abcabacbabcbacabacbabcacbacabacbab""",2
35,"""babcabacbabcbacabacbabcacbacabacbab""",1
36,"""cbabcabacbabcbacabacbabcacbacabacbab""",1
37,"""acbabcabacbabcbacabacbabcacbacabacbab""",1
38,"""bacbabcabacbabcbacabacbabcacbacabacbab""",1
39,"""bcacbabcabacbabcbacabacbabcacbacabacbab""",2
40,"""abcacbabcabacbabcbacabacbabcacbacabacbab""",1
41,"""babcacbabcabacbabcbacabacbabcacbacabacbab""",1
42,"""bacbcacbabcabacbabcbacabacbabcacbacabacbab""",3
43,"""abacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
44,"""cabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
45,"""acabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
46,"""bacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
47,"""cbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
48,"""acbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
49,"""cacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
50,"""bcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
51,"""abcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
52,"""babcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
53,"""cbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
54,"""acbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
55,"""bacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
56,"""abacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
57,"""cabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
58,"""acabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
59,"""bacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
60,"""cbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
61,"""acbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
62,"""cacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
63,"""bcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
64,"""cbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
65,"""acbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
66,"""bacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
67,"""abacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
68,"""cabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
69,"""acabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
70,"""bacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
71,"""cbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
72,"""acbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
73,"""abcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",2
74,"""babcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
75,"""cbabcbacabacbcacbacabacbabcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbab""",1
