"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""ac""",1
3,"""bac""",1
4,"""abac""",1
5,"""cabac""",1
6,"""acabac""",1
7,"""bacabac""",1
8,"""cbacabac""",1
9,"""acbacabac""",1
10,"""cacbacabac""",1
11,"""bcacbacabac""",1
12,"""abcacbacabac""",1
13,"""babcacbacabac""",1
14,"""cbabcacbacabac""",1
15,"""acbabcacbacabac""",1
16,"""bacbabcacbacabac""",1
17,"""abacbabcacbacabac""",1
18,"""cabacbabcacbacabac""",1
19,"""acabacbabcacbacabac""",1
20,"""bacabacbabcacbacabac""",1
21,"""cbacabacbabcacbacabac""",1
22,"""acbacabacbabcacbacabac""",1
23,"""cacbacabacbabcacbacabac""",1
24,"""bcacbacabacbabcacbacabac""",1
25,"""abcacbacabacbabcacbacabac""",1
26,"""cabcacbacabacbabcacbacabac""",1
27,"""acabcacbacabacbabcacbacabac""",1
28,"""bacabcacbacabacbabcacbacabac""",1
29,"""abacabcacbacabacbabcacbacabac""",1
30,"""cabacabcacbacabacbabcacbacabac""",1
31,"""bcabacabcacbacabacbabcacbacabac""",1
32,"""abcabacabcacbacabacbabcacbacabac""",1
33,"""babcabacabcacbacabacbabcacbacabac""",1
34,"""cbabcabacabcacbacabacbabcacbacabac""",1
35,"""acbabcabacabcacbacabacbabcacbacabac""",1
36,"""bacbabcabacabcacbacabacbabcacbacabac""",1
37,"""abacbabcabacabcacbacabacbabcacbacabac""",1
38,"""cabacbabcabacabcacbacabacbabcacbacabac""",1
39,"""acabacbabcabacabcacbacabacbabcacbacabac""",1
40,"""bacabacbabcabacabcacbacabacbabcacbacabac""",1
41,"""cbacabacbabcabacabcacbacabacbabcacbacabac""",1
42,"""acbacabacbabcabacabcacbacabacbabcacbacabac""",1
43,"""cacbacabacbabcabacabcacbacabacbabcacbacabac""",1
44,"""bcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
45,"""abcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
46,"""babcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
47,"""cbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
48,"""acbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
49,"""bacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
50,"""abacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
51,"""cabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
52,"""acabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
53,"""bacabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
54,"""babcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",3
55,"""cbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
56,"""acbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
57,"""cacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
58,"""bcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
59,"""abcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
60,"""babcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
61,"""bacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",3
62,"""abacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
63,"""cabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
64,"""acabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
65,"""bacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
66,"""cbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
67,"""acbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
68,"""cacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
69,"""bcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
70,"""abcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
71,"""babcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
72,"""cbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
73,"""acbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
74,"""bacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
75,"""abacbabcacbacabacbcacbabcabacbabcacbacabacbabcabacabcacbacabacbabcacbacabac""",1
