"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""bc""",1
3,"""abc""",1
4,"""babc""",1
5,"""cbabc""",1
6,"""acbabc""",1
7,"""bacbabc""",1
8,"""abacbabc""",1
9,"""cabacbabc""",1
10,"""acabacbabc""",1
11,"""bacabacbabc""",1
12,"""cbacabacbabc""",1
13,"""acbacabacbabc""",1
14,"""cacbacabacbabc""",1
15,"""bcacbacabacbabc""",1
16,"""abcacbacabacbabc""",1
17,"""babcacbacabacbabc""",1
18,"""cbabcacbacabacbabc""",1
19,"""acbabcacbacabacbabc""",1
20,"""bacbabcacbacabacbabc""",1
21,"""abacbabcacbacabacbabc""",1
22,"""cabacbabcacbacabacbabc""",1
23,"""acabacbabcacbacabacbabc""",1
24,"""bacabacbabcacbacabacbabc""",1
25,"""cbacabacbabcacbacabacbabc""",1
26,"""bcbacabacbabcacbacabacbabc""",1
27,"""abcbacabacbabcacbacabacbabc""",1
28,"""babcbacabacbabcacbacabacbabc""",1
29,"""cbabcbacabacbabcacbacabacbabc""",1
30,"""acbabcbacabacbabcacbacabacbabc""",1
31,"""bacbabcbacabacbabcacbacabacbabc""",1
32,"""abacbabcbacabacbabcacbacabacbabc""",1
33,"""cabacbabcbacabacbabcacbacabacbabc""",1
34,"""acabacbabcbacabacbabcacbacabacbabc""",1
35,"""abcabacbabcbacabacbabcacbacabacbabc""",2
36,"""babcabacbabcbacabacbabcacbacabacbabc""",1
37,"""cbabcabacbabcbacabacbabcacbacabacbabc""",1
38,"""acbabcabacbabcbacabacbabcacbacabacbabc""",1
39,"""bacbabcabacbabcbacabacbabcacbacabacbabc""",1
40,"""bcacbabcabacbabcbacabacbabcacbacabacbabc""",2
41,"""abcacbabcabacbabcbacabacbabcacbacabacbabc""",1
42,"""babcacbabcabacbabcbacabacbabcacbacabacbabc""",1
43,"""bacbcacbabcabacbabcbacabacbabcacbacabacbabc""",3
44,"""abacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
45,"""cabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
46,"""acabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
47,"""bacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
48,"""cbacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
49,"""acbacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
50,"""cacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
51,"""bcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
52,"""abcacbacabacbcacbabcabacbabcbacabacbabcacbacabacbabc""",1
