"sep=,"
"DlugoscSlowa","SlowoBezKwadratow","ParametrPrzesuniecia"
2,"""21""",1
3,"""121""",1
4,"""3121""",1
5,"""13121""",1
6,"""213121""",1
7,"""1213121""",1
8,"""41213121""",1
9,"""141213121""",1
10,"""2141213121""",1
11,"""12141213121""",1
12,"""312141213121""",1
13,"""1312141213121""",1
14,"""21312141213121""",1
15,"""121312141213121""",1
16,"""5121312141213121""",1
17,"""15121312141213121""",1
18,"""215121312141213121""",1
19,"""1215121312141213121""",1
20,"""31215121312141213121""",1
21,"""131215121312141213121""",1
22,"""2131215121312141213121""",1
23,"""12131215121312141213121""",1
24,"""412131215121312141213121""",1
25,"""1412131215121312141213121""",1
26,"""21412131215121312141213121""",1
27,"""121412131215121312141213121""",1
28,"""3121412131215121312141213121""",1
29,"""13121412131215121312141213121""",1
30,"""213121412131215121312141213121""",1
31,"""1213121412131215121312141213121""",1
32,"""61213121412131215121312141213121""",1
33,"""161213121412131215121312141213121""",1
34,"""2161213121412131215121312141213121""",1
35,"""12161213121412131215121312141213121""",1
36,"""312161213121412131215121312141213121""",1
37,"""1312161213121412131215121312141213121""",1
38,"""21312161213121412131215121312141213121""",1
39,"""121312161213121412131215121312141213121""",1
40,"""4121312161213121412131215121312141213121""",1
41,"""14121312161213121412131215121312141213121""",1
42,"""214121312161213121412131215121312141213121""",1
43,"""1214121312161213121412131215121312141213121""",1
44,"""31214121312161213121412131215121312141213121""",1
45,"""131214121312161213121412131215121312141213121""",1
46,"""2131214121312161213121412131215121312141213121""",1
47,"""12131214121312161213121412131215121312141213121""",1
48,"""512131214121312161213121412131215121312141213121""",1
49,"""1512131214121312161213121412131215121312141213121""",1
50,"""21512131214121312161213121412131215121312141213121""",1
51,"""121512131214121312161213121412131215121312141213121""",1
52,"""3121512131214121312161213121412131215121312141213121""",1
53,"""13121512131214121312161213121412131215121312141213121""",1
54,"""213121512131214121312161213121412131215121312141213121""",1
55,"""1213121512131214121312161213121412131215121312141213121""",1
56,"""41213121512131214121312161213121412131215121312141213121""",1
57,"""141213121512131214121312161213121412131215121312141213121""",1
58,"""2141213121512131214121312161213121412131215121312141213121""",1
59,"""12141213121512131214121312161213121412131215121312141213121""",1
60,"""312141213121512131214121312161213121412131215121312141213121""",1
61,"""1312141213121512131214121312161213121412131215121312141213121""",1
62,"""21312141213121512131214121312161213121412131215121312141213121""",1
63,"""121312141213121512131214121312161213121412131215121312141213121""",1
64,"""7121312141213121512131214121312161213121412131215121312141213121""",1
65,"""17121312141213121512131214121312161213121412131215121312141213121""",1
66,"""217121312141213121512131214121312161213121412131215121312141213121""",1
67,"""1217121312141213121512131214121312161213121412131215121312141213121""",1
68,"""31217121312141213121512131214121312161213121412131215121312141213121""",1
69,"""131217121312141213121512131214121312161213121412131215121312141213121""",1
70,"""2131217121312141213121512131214121312161213121412131215121312141213121""",1
71,"""12131217121312141213121512131214121312161213121412131215121312141213121""",1
