"sep=,"
"Krok","WygenerowanaLiczba"
1,21
2,211
3,2111
4,21121
5,211213
6,3211213
7,32111213
8,232111213
9,2312111213
10,23212111213
11,232121111213
12,2321211121213
13,23212111231213
14,232121112312113
15,2321211123121123
16,21321211123121123
17,213212111232121123
18,1213212111232121123
19,13213212111232121123
20,213213212111232121123
21,2132132121112132121123
22,21321321211512132121123
23,213213212115112132121123
24,2123213212115112132121123
25,21232132121151121312121123
26,212321321211511213121212123
27,2123213212115131213121212123
28,21123213212115131213121212123
29,211232132121151312132121212123
30,2112321321211513121321212121231
31,21123213212115131213521212121231
32,211232132121151312134521212121231
33,2112232132121151312134521212121231
34,21122321321211513121345241212121231
35,211223213212115131213452412123121231
36,2112232132121151312134524122123121231
37,21122312132121151312134524122123121231
38,211223121321211513121345241221323121231
39,2112231213212115131213245241221323121231
40,21122312132121151312132452412211323121231
41,211223121321211513121324523412211323121231
42,2112231213212112513121324523412211323121231
43,21122312132121125131213245234122113231213231
44,211223121321211251312132452341221132312313231
45,2112231213212112513121324523412121132312313231
46,21132231213212112513121324523412121132312313231
47,211322312132121125131213245234121211323123123231
48,2113223121321211251312132452341212113213123123231
49,21132231213212211251312132452341212113213123123231
50,211322312132122112513121324523412112113213123123231
51,2113223121321221125131213245234123112113213123123231
52,21132231213212211251312132452341231121135213123123231
53,211322312132122112513121324523412311211135213123123231
54,2113223121321221125131221324523412311211135213123123231
55,21132231213212211251312213245234123131211135213123123231
56,211322312132122112513122313245234123131211135213123123231
57,2113122312132122112513122313245234123131211135213123123231
58,21131223121321221125131223132452341231312111352131231223231
59,213131223121321221125131223132452341231312111352131231223231
60,2131312231213212211251312231324512341231312111352131231223231
61,21313122312132122112513122313245123412313121113521312312233231
62,213131223121321221125131322313245123412313121113521312312233231
63,2131312231213212211251313223132451234123131231113521312312233231
64,21313122312132122112513132231324512341231312311123521312312233231
65,213131223121321221125131322311324512341231312311123521312312233231
66,2131312231213212211251313223113245123412313123111235213125312233231
67,21313122312132122112513132231132451234123131323111235213125312233231
68,213131223121321221125131322311324512341231313231112352131253121233231
69,2131312231213212211251313223113245123412313132312112352131253121233231
70,21313122331213212211251313223113245123412313132312112352131253121233231
71,213131223312132122112513132231132451234123131323121123521312531212332331
72,2131312233121321221125131322311324512341231313233121123521312531212332331
73,21313122331213212211251313223113245123412313132331211235213125312123312331
74,213131223312132122112513123223113245123412313132331211235213125312123312331
75,2131312233121321221125131232213113245123412313132331211235213125312123312331
76,21313122331213212211251312322131132451234123131323312112352131253121232312331
77,213131223312132122112513123221311321451234123131323312112352131253121232312331
78,2131312233121321221125131232213113214512341231313233121123252131253121232312331
79,21313122331213212211251312322131132145123412313132331211232521312153121232312331
80,213131223312132122112513123221311321451234123131323312112232521312153121232312331
81,2131312233121321221125131232213113214512341231313233121122325213121513121232312331
82,21313122331213212211251312322131132142512341231313233121122325213121513121232312331
83,213131223312132122112513123221311321425123412313132331211223252131215131212323123311
84,2131312233121321221125131232213113214225123412313132331211223252131215131212323123311
85,21313122331213212421125131232213113214225123412313132331211223252131215131212323123311
86,213131223312132124211251312322131132142251234123131232331211223252131215131212323123311
87,2131312233121321242112513123221311321422512341231312323312112232152131215131212323123311
88,21313122233121321242112513123221311321422512341231312323312112232152131215131212323123311
89,213131222331213212421125131232213113214225123412313123213312112232152131215131212323123311
90,2131312223312132124211251312322131132142251234123131232313312112232152131215131212323123311
91,21313122233121321242112513123221311321422512341231312323133121122321521312151312123233123311
92,213131222331213212421125131232213113214225123412313123231331211223215321312151312123233123311
93,2131312223312132124211251312322131132142251234123131232313312112232153213121513121232332123311
94,21313122233121321242112513123221311321422512341231312323133121122321153213121513121232332123311
95,213131222331213212421125131232213113214225123412313123231331211223211532131215131212232332123311
96,2131312223312132124211251312322131132142251234123131232313312112232115132131215131212232332123311
97,21313122233121321242112513312322131132142251234123131232313312112232115132131215131212232332123311
98,213131222331213212421212513312322131132142251234123131232313312112232115132131215131212232332123311
99,2131312223312132124212125133123221311321422512341231312323133121122321115132131215131212232332123311
100,21313122233121321242121251533123221311321422512341231312323133121122321115132131215131212232332123311
101,213131222331213212421212515331232213113214225123412313123231331211223211151323131215131212232332123311
102,2131312221331213212421212515331232213113214225123412313123231331211223211151323131215131212232332123311
103,21313122213312132124212125153312322131132142251234123213123231331211223211151323131215131212232332123311
104,213131222133121321242121251533123221311321422512341232131232313312112232111513231312151312122323321123311
105,2131312221331213212421212521533123221311321422512341232131232313312112232111513231312151312122323321123311
106,21313122213312132124212125215331232213113214225123412321312323133121122321115132313121511312122323321123311
107,213131222133121321242121252153312322131132142251234123213123231331211223211151323131215113121223233211233311
108,2131312221331213212421212521533123221311321422512341232131232313312112232111513231312151131212232332112338311
109,21313122213312132124212125215331232213113214225123412321312323133121122321115132313121511312122323321123383131
110,213131222133121321242121252153312322131132142251234123213123231331211232321115132313121511312122323321123383131
111,2131312221331213212421212521533123221311321422512341232131232313312112323211151323131215113121223323321123383131
112,21313122213312132124212125215331232213113214225123441232131232313312112323211151323131215113121223323321123383131
113,213131222133121321242121252153312322131132142251234412321312323133121212323211151323131215113121223323321123383131
114,2131312221331213121242121252153312322131132142251234412321312323133121212323211151323131215113121223323321123383131
115,21313122213312131212421212521533123221311321422512344123213123231331212123232111521323131215113121223323321123383131
116,213131222133121312124212125215331232213113214225123441232131232313312121232321115213231431215113121223323321123383131
117,2131312221331213121242121252153312322131132142251234412321312323133121212323212115213231431215113121223323321123383131
118,21313122213312131212421212521533123221311321422512344123213123231331212123232121152132314312151413121223323321123383131
119,213131222133121312124212125215331232213113214225132344123213123231331212123232121152132314312151413121223323321123383131
120,2131312221331213121242121252153312322131132142251323441232131232313312121232321211521323143121514213121223323321123383131
121,21313122213312131212421212521533123221311132142251323441232131232313312121232321211521323143121514213121223323321123383131
122,213131222133121312124212125215331232213111321422513234412321312323133121212323212115213231431215142131212233233211233831321
123,2131312221331213121242121252153312322131113214225132344123213123231331212123232121152132314312151421312312233233211233831321
124,21313122213312131212421212521533123221311132142251323441232131232313312121232321211521323143121514213123122332332311233831321
125,213131222133121312124212125215331232213111321422513234412321312323133121212323212115213231431215142131231223323323112338314321
126,2131312221331213121242121252153312322131113214225132344123213123231331212123232121152132314312151421312312233233231123383124321
127,21313122213312131212421212521533123221311132142251323441232131232313312121323232121152132314312151421312312233233231123383124321
128,213131222133121312124212125215331232213111321422513234412321312323133121213232321211512132314312151421312312233233231123383124321
129,2131312221331213121242121252153312322131113214225132344123213123231331212132323212115121323143121512421312312233233231123383124321
130,21313122213312131212421212521533123221311132142251323441232131231231331212132323212115121323143121512421312312233233231123383124321
131,213131222133121312124212125215331232213111321422513234412321312312313312121323232121151213231431212512421312312233233231123383124321
132,2131312221331213121242121252153312322131113214225132344123213123123133121211323232121151213231431212512421312312233233231123383124321
133,21313122213312131212421212521533123221311132142251323441232131231231331212113232321211512132314312125124213123126233233231123383124321
134,213131222133121312124212125215331232213111321422513234412321312312313312121132323212115121323143121253124213123126233233231123383124321
135,2131312221331213121242121252153312322131113214225132344123213123123132312121132323212115121323143121253124213123126233233231123383124321
136,21313122213312131212421212521533123221311132142251321344123213123123132312121132323212115121323143121253124213123126233233231123383124321
137,213131222133121312124212125215331232213111321422513212344123213123123132312121132323212115121323143121253124213123126233233231123383124321
138,2131312221331213121242121252153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
139,21313122213312131212421212521153312322131113214225132123441232131231231323121211323233212115121323143121253124213123126233233231123383124321
140,213131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121253124213123126233233231123383124321
141,2131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
142,23131312221331213121242121252115331232213111321422513212344123213123123123231212113232332121151213231431213253124213123126233233231123383124321
143,231313122213312131212421212521153312322131113214225132123441232131231231232312121132323321211512132314312132531242131231262332332311233831214321
144,2313131222133121312124212125211533123221311132142251321234412321312312312323121211323233212115121323143121325312421312312623322332311233831214321
145,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115121323143121325312421312312623322332311233831214321
146,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232332121152121323143121325312421312312623322332311233831214321
147,2313131222133121312124212125211533123221311132142251321234412321311231231232312121132323321211521213231431213253124213123126233223332311233831214321
148,23131312221331213121242121252115331232213111321422513212344123213112312312323121211323233212115212132314312132531242131231262332233323112338311214321
149,231313122213312131212421212521153312322131113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
150,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212132314312132531242131231262332233323112338311214321
151,23131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531242131231262332233323112338311214321
152,231313122213312131212421212521153312322133111321422513212344123213112312312323121211323232321211521213323143121325312442131231262332233323112338311214321
153,2313131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
154,23113131222133121312124212125211533123221331113214225132123441232131123123123231212113232323212115212133231431213253124421312312623322333231212338311214321
155,231131312221331213121242121252115331232213311132142251321234412321311231231232312121132323232121152121332314312132531244213123126233223332312123382311214321
