"sep=,"
"Krok","WygenerowanaLiczba"
1,21
2,211
3,2111
4,21101
5,211051
6,2110519
7,21105197
8,211051987
9,2110519687
10,21105196877
11,211051968797
12,2110519686797
13,21105196867597
14,211051968675971
15,2110519686675971
16,21105196866759721
17,211051968667959721
18,2110519686679597231
19,21105196866795947231
20,211051968667959473231
21,2110519686679594273231
22,21105196866795942732311
23,211051968667959427323181
24,2110519686679594273123181
25,21105196866795942731231881
26,211051968667959427312318481
27,2110519686679594273123184821
28,21105196866795942731231894821
29,211051968667959427312317894821
30,2110519686679594273123178948219
31,21105196866795942731231789498219
32,211051968667959427312317894982019
33,2110519686679594273123178949828019
34,21105196866795942731231789498280109
35,211051968667959427312317894982801709
36,2110519686679594273123178949828015709
37,21105196866795942731231789498280154709
38,211051968667959427312317894982808154709
39,2110519686679594273123178949828081547069
40,21105196866795942731231789498280815470699
41,211051968667959427312317894998280815470699
42,2110519686679594273123178949982808154704699
43,21105196866795942731231789499828081547054699
44,211051968667959427312317894998280815477054699
45,2110519686679594273123178949982808154770854699
46,21105196866795942731231789499828081547703854699
47,211051968667959427312317894998280815477038546999
48,2110519686679594273123178949982808154770385469199
49,21105196866795942731231789499828081547703854691993
50,211051968667959427312317894998280815477038546931993
51,2110519686679594273123178949982808154770385469301993
52,21105196866795942731231789499828081547703854693021993
53,211051968667959427312317894998280815477038546493021993
54,2110519686679594273123178949982808154770385464930219923
55,21105196866795942731231789499828081547703854649302199243
56,211051968667959427312317894998280815477038254649302199243
57,2110519686679594273123178949982808154770382546493021996243
58,21105196866795942731231789499828081547703825464930219996243
59,211051968667959427312317894998280815477038925464930219996243
60,2110519686679594273123178949982808154770389254649302199962943
61,21105196866795942731231789499828081547703892546493021999623943
62,211051968667959427312317894998280815477038925464930219999623943
63,2110519686679594273123178949982808154770308925464930219999623943
64,21105196866795942731231789499828081547703089254649302199996023943
65,211051968667959427312317894998280815477030892546493021999960239743
66,2110519686679594273123178949982808154770308925464930219999602393743
67,21105196866795942731231789499828081547703089254649302199996023693743
68,211051968667959427312317894998280815477030892546493021999960236937453
69,2110519686679594273123178949982808154770308925464930219999602316937453
70,21105196866795942731231789499828081547703089254649302199996023169374853
71,211051968667959427312317894998280815477030892546493021999960231693748537
72,2110519686679594273123178949982808154770308925464936021999960231693748537
73,21105196866795942731231789499828081547703089254649360219999602316937438537
74,211051968667959427312317894998280815477030892546493602199996023169374385373
75,2110519686679594273123178949982808154770308925464903602199996023169374385373
76,21105196866795942731231789499828081547703089254649036021999960231693794385373
77,211051968667959427312317894998280815477030892546490360219999602316937984385373
78,2110519686679594273123178949982808154770308925464903602199996023169379843853073
79,21105196866795942731231789499828081547703089254649036021999960231693798439853073
80,211051968667959427312317894998280815477030892546490360219999602314693798439853073
81,2110519686679594273123178949982808154770308925464903602199996023146937984398563073
82,21105196866795942731231789499828081547703089254649036021999960231496937984398563073
83,211051968667959427312317894998280815477030892546490360219999602314969379843985630783
84,2110519686679594273123178949982808154770308925464903602199996023149693798439385630783
85,21105196866795942731231789499828081547703089254649036021999960231496937984393805630783
86,211051968667959427312317894998280815477030892546490360219999602314969379843937805630783
87,2110519686679594273123178949982808154770308925464903602199996023149693798453937805630783
88,21105196866795942731231789499828081547703089254649036021999960231496937989453937805630783
89,211051968667959427312317894998280815477030892546490360219999602314969379894539378056307683
90,2110519686679594273123178949982808154770308925464903602199996023149693798945393780563070683
91,21105196866795942731231789499828081547703089254649036021999960231496937398945393780563070683
92,211051968667959427312317894998280815477030892546490360219999602314969373989453937800563070683
93,2110519686679594273123178949982808154770308925464903602199996023149693073989453937800563070683
94,21105196866795942731231789499828081547703089254649036021999960231496930739894539378005630740683
95,211051968667959427312317894998280815477030892546490360219999602314969307398945393780056307406863
96,2110519686679594273123178949982808154770308925464903602199996023149693073989453937806056307406863
97,21105196866795942731231789499828081547703089254649036021999960231496930739894539378060566307406863
98,211051968667959427312317894998280815477030892546490360219999602314969307398945393780605663074206863
99,2110519686679594273123178949982808154770308925464903602199996023149693073989453937806056630742706863
100,21105196866795942731231789499828081547703089254649036021999960231496930739894539378060566307427096863
101,211051968667959427312317894998280815477030892546490360219999602314969307398945393780605663074270296863
102,2110519686679594273123178949982808154770308925464903602199996023149693073989465393780605663074270296863
103,21105196866795942731231789499828081547703089254649036021999960231496930739894653937806056630742709296863
104,211051968667959427312317894998280815477030892546490360219999602314969307398946539378060566307427092968463
105,2110519686679594273123178949982808154770308925464903602199996023149693073989465393780605663074270929683463
106,21105196866795942731231789499828081547703089254649036021999960231496930739894653937806056630742709296834653
107,211051968667959427312317894998280815477030892546490360219999602314969307398946539378060566307427097296834653
108,2110519686679594273123178949982808154770308925464903602199996023149693073989465393780605663074270975296834653
109,21105196866795942731231789499828081547703089725464903602199996023149693073989465393780605663074270975296834653
110,211051968667959427312317894998280815477030897254649036021999960231496930739894653937806056630742709752968346563
111,2110519686679594273123178949982808154770308972546490360219999602314969307398946539378060566307427097529638346563
112,21105196866795942731231789499828081547703089725464903602199996023149693073989465390378060566307427097529638346563
113,211051968667959427312317894998280815477030897254649036021999960231496930739894653903780605663074270975269638346563
114,2110519686679594273123178949982808154770308972546490360219999602314969307398946539037806505663074270975269638346563
115,21105196866795942731231789499828081547703089725464903602199996023149693073989465390378065056630742709795269638346563
116,211051968667959427312317894998280815477030897254649036021999960231496930739894653903780650566430742709795269638346563
117,2110519686679594273123178949982808154770308972546490360219999602314969307398946539037806505664307427097950269638346563
118,21105196866795942731231789499828081547703089725464903602199996023149693073989465390378065056643074272097950269638346563
119,211051968667959427312317894998280815477030897254649036021999960231496930739894653903780650566343074272097950269638346563
120,2110519686679594273123178949982808154770308972546490360219999602314969307398946539037806505663430742720979502696938346563
121,21105196866795942731231789499828081547703089725464903602199996023149693073989465390378065056634307427209795026969383465673
122,211051968667959427312317894998280815477030897254649036021999960231496930739894653903780650566343074272097950269693834265673
123,2110519686679594273123178949982808154770308972546490360219999602314969307398946539037806505663430742720979502619693834265673
124,21105196866795942731231789499828081547703089725464903602199996023149693073989465390378065056634307427209795026196938342605673
125,211051968667959427312317894998280815477030897254649036021999960231496930739894653903780650566343074272097950261969383426056973
126,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903780650566343074272097950261969383426056973
127,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037806505663430742720979502619693893426056973
128,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378065056634307427209795026196938934260569793
129,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903780650566343074272097950261960938934260569793
130,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037806505663430742720979502619610938934260569793
131,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663430742720979502619610938934260569793
132,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634307427209795026196109389634260569793
133,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343074272097950261961093896324260569793
134,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663430742720979502619631093896324260569793
135,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634307427209795026196310938963242605697793
136,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343074272097950261963109389632426305697793
137,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663430742720979502619631093896324263305697793
138,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742720979502619631093896324263305697793
139,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343507427209795026196310938916324263305697793
140,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663435074272097950261963109389163242633056973793
141,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742720979502619631093891632426333056973793
142,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343507427209795026196310938916324263330562973793
143,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663435074272097950261963109389163242633305629737933
144,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742072097950261963109389163242633305629737933
145,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343507420720979502619631093891632426337305629737933
146,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663435074207209795026196310938916324263327305629737933
147,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742072609795026196310938916324263327305629737933
148,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343507420726097950261963109389163242633273056297137933
149,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663435074207260979502619631093891632426332730562997137933
150,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742072609795026196310938916324263327305629971373933
151,21105196866795942731231789499828081547703089725464903602199996023149693073598946539037830650566343507420726097950261963109389163242633278305629971373933
152,211051968667959427312317894998280815477030897254649036021999960231496930735989465390378306505663435074207260979502619631079389163242633278305629971373933
153,2110519686679594273123178949982808154770308972546490360219999602314969307359894653903783065056634350742072609795026196310793891632426332708305629971373933
154,21105196866795942731231789499828081547703089725464903602199996023149693073598949653903783065056634350742072609795026196310793891632426332708305629971373933
155,211051968667959427312317894998280815477030897254649036021999960231496930735989496539037830650566343507420726097950261963107938916324263327083056289971373933
